Country,Population,Pollution,PollutionAccess,DeathsPollution,DeathsShare,PM25,OZONE,SmokeDaily,SmokeShare,Drinking,UnsafeWater,Calories,Fat,Sanitation,Overweight,Fertility,HealthExpenditure,HealthShare,Corruption,CorruptionPerception,Trust,TrustShare,TrustMedics,Literacy,HumanRights,PoliticalRegime,GiniIndex,EconomicFreedom,TotalDeaths,TotalCases,PopulationDensity,MedianAge,Aged65,Aged70,GDPpcp,Poverty,Cardiovascular,Diabetes,SmokersFemale,SmokersMale,HospBeds,LifeExpectancy,ReproductionRate,TotalVaccinations,FullVaccinations
MAC,649342,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,131.93,NaN,NaN,1.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96.2276,NaN,NaN,NaN,NaN,NaN,NaN,20546.766,39.2,9.798,4.991,104861.851,NaN,NaN,NaN,NaN,NaN,NaN,84.24,NaN,8.82,NaN
MAR,36910558,25.41198462,96.75,67.26864668,8.92,17,56,13.5,23.4,5.4,0.32,3403,67.71,0.795923661,59.5,2.526,446.6397424,2.00132628,4.6,43,-0.090314753,35.86514548,67.4051339,71.710548,0.335490756,-4,40.7,6.339798901,240.175,13519.844,80.08,29.6,6.769,4.209,7485.013,1,419.146,7.14,0.8,47.1,1.1,76.68,1.11,11.87,10.82
MCO,39244,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7301.914346,3.84109846,NaN,NaN,NaN,NaN,NaN,99,4.289002957,NaN,NaN,NaN,764.448,59754.357,19347.5,NaN,NaN,NaN,NaN,NaN,NaN,5.46,NaN,NaN,13.8,86.75,0.94,29.85,22.41
MDA,4033963,19.94321337,92.19,49.86823622,6.67,NaN,NaN,20.9,24.2,66.3,0.01,2714,68.63,0.204725728,54.1,1.248,514.2101995,5.30398831,4.6,33,0.001175667,26.46578073,73.61599912,99.244392,0.484552357,9,27,6.629613844,1295.004,58642.828,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,5.8,71.9,0.89,1.28,NaN
MDG,27691019,21.47496474,0.91,155.0695076,10.13,NaN,NaN,13.6,NaN,14.1,10.57,2052,23.49,76.92589896,21.1,4.241,43.70476778,1.47341461,4.2,25,NaN,33.57194173,65.8971383,64.656303,-0.23040146,6,42.7,6.174695918,16.684,934.382,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,NaN,NaN,0.2,67.04,0.99,NaN,NaN
MDV,540542,26.86188561,93.83,21.43409424,4.83,NaN,NaN,20.200001,28.3,9,0.24,2732,48.24,0.321759545,28.5,2.132,1995.842255,10.75705209,4.3,31,NaN,NaN,NaN,99.321022,0.555945257,NaN,38.4,NaN,123.95,46347.925,1454.433,30.6,4.12,2.875,15183.616,NaN,164.905,9.19,2.1,55,NaN,78.92,1.06,47.34,1.47
MEX,128932753,18.82910389,85.35,44.40708422,6.76,14,62,9.8999996,14,56.9,0.24,3072,100.84,0.900685578,64.1,2.215,1121.988778,3.25955157,4.7,28,-0.35707209,37.08061673,83.2666984,94.545593,-1.423018386,8,48.2,6.895887517,1589.86,17501.441,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,1.38,75.05,0.85,6.49,1.01
MHL,59194,11.08607034,65.35,93.04476503,6.78,NaN,NaN,17.700001,NaN,NaN,0.28,NaN,NaN,2.799176399,82.7,NaN,679.5675865,14.44916839,NaN,NaN,NaN,NaN,NaN,98.265083,2.064719691,NaN,NaN,NaN,NaN,67.574,295.15,NaN,NaN,NaN,3819.202,NaN,557.793,30.53,NaN,NaN,2.7,73.7,NaN,NaN,NaN
MKD,2083380,31.92141254,65.63,49.98650948,8.7,NaN,NaN,36.900002,NaN,57.1,0.01,2949,103.36,0.053927272,60.9,1.524,851.1526567,4.10142063,4.1,37,NaN,39.31121464,72.77724361,97.843758,0.848406672,9,35.6,7.122560119,1930.517,65483.013,82.6,39.1,13.26,8.16,13111.214,5,322.688,10.08,NaN,NaN,4.28,75.8,1.09,0.58,NaN
MLI,20250834,92.21011675,0.96,107.0754058,6.19,NaN,NaN,10.3,12.3,3.8,6.94,2890,60.28,70.83597871,24.4,6.145,108.0998983,1.95543294,NaN,32,NaN,48.78180181,75.39862609,33.068871,-1.197660938,5,33,5.794917503,19.555,531.237,15.196,16.4,2.519,1.486,2014.306,NaN,268.024,2.42,1.6,23,0.1,59.31,1.33,0,NaN
MLT,441539,12.14084395,100,23.62493339,5.45,NaN,NaN,22.1,25.5,60.6,0,3378,118.17,0.010612884,70,1.443,3071.627651,6.74343039,NaN,54,NaN,71.51763465,95.90672851,94.066612,2.803173634,NaN,NaN,7.740315514,903.657,66456.191,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,4.485,82.53,0.53,36.03,13.61
MMR,54409794,48.81135881,18.4,118.1052463,11.07,NaN,NaN,17.5,20.3,7.9,1.6,2571,79.99,11.17691218,24.6,2.23,103.4661342,1.0448998,NaN,29,NaN,88.30477116,91.52062327,93.09005,-2.467334008,-3,38.1,5.41638899,58.923,2619.565,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,0.9,67.13,0.99,0.7,NaN
MNE,628062,20.35568996,69.35,47.54888834,7.22,NaN,NaN,26.5,45.9,65.2,0.01,3491,139.63,0.007472934,62.3,1.677,888.1673619,3.66738093,NaN,45,NaN,43.14891107,68.61190032,98.719948,1.557095013,9,31.9,7.050268253,2111.257,148122.319,46.28,39.1,14.762,9.395,16409.288,1,387.305,10.08,44,47.9,3.861,76.88,0.81,4.71,0.75
MNG,3278292,29.68500129,42.8,81.61391845,7.84,NaN,NaN,25.4,25.6,45.7,0.1,2510,95.28,0.535620486,53.9,2.793,565.0702475,2.62057288,4.8,37,NaN,48.7756212,80.96656999,98.367638,0.4774756,10,32,7.395856246,3.965,3553.985,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,7,69.87,1.65,NaN,NaN
MOZ,31255435,20.98722687,3.69,125.8563334,5.64,9.5,46,11,16.6,17.9,3.5,2283,40.64,44.38947401,23.1,5.305,79.32069416,3.93673477,4,23,NaN,72.45270828,73.98393328,58.836552,-0.087209576,5,45.6,5.479430172,25.116,2184.964,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,0.7,60.85,0.79,0.18,NaN
